Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
23.0,84.0,0.0,2.0,0.0,7.0,73.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,67.0
19.0,64.0,0.0,1.0,0.0,8.0,59.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,61.0
24.0,98.0,1.0,1.0,1.0,7.0,91.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,74.0
29.0,89.0,0.0,1.0,1.0,8.0,98.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,71.0
19.0,92.0,1.0,1.0,1.0,6.0,65.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,70.0
19.0,88.0,1.0,1.0,1.0,8.0,89.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,71.0
29.0,84.0,1.0,0.0,1.0,7.0,68.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,67.0
25.0,78.0,0.0,2.0,1.0,6.0,50.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,66.0
17.0,94.0,1.0,2.0,0.0,6.0,80.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,69.0
23.0,98.0,1.0,1.0,1.0,8.0,71.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,72.0
17.0,80.0,0.0,2.0,0.0,8.0,88.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,68.0
17.0,97.0,1.0,2.0,1.0,6.0,87.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,71.0
21.0,83.0,1.0,1.0,1.0,8.0,97.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,70.0
9.0,82.0,1.0,1.0,1.0,8.0,72.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,66.0
10.0,78.0,1.0,2.0,1.0,8.0,74.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,65.0
17.0,68.0,1.0,1.0,0.0,8.0,70.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,64.0
14.0,60.0,1.0,0.0,1.0,10.0,65.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,60.0
22.0,70.0,0.0,1.0,1.0,6.0,82.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,65.0
15.0,80.0,1.0,1.0,1.0,9.0,91.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,67.0
12.0,75.0,1.0,2.0,1.0,7.0,58.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,66.0
29.0,78.0,1.0,1.0,0.0,5.0,99.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,69.0
19.0,99.0,1.0,2.0,0.0,6.0,84.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,72.0
20.0,74.0,1.0,2.0,0.0,8.0,89.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,66.0
