Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
0.511628,0.600000,0.000000,1.000000,0.000000,0.500000,0.460000,0.000000,1.000000,0.000000,0.000000,0.500000,0.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,67.000000
0.418605,0.100000,0.000000,0.500000,0.000000,0.666667,0.180000,0.000000,1.000000,0.250000,0.500000,0.500000,0.000000,0.000000,0.666667,0.000000,0.500000,0.500000,1.000000,61.000000
0.534884,0.950000,0.500000,0.500000,1.000000,0.500000,0.820000,0.500000,1.000000,0.250000,0.500000,0.500000,0.000000,0.500000,0.666667,0.000000,1.000000,0.000000,0.000000,74.000000
0.651163,0.725000,0.000000,0.500000,1.000000,0.666667,0.960000,0.500000,1.000000,0.125000,0.500000,0.500000,0.000000,0.000000,0.666667,0.000000,0.000000,0.500000,0.000000,71.000000
0.418605,0.800000,0.500000,0.500000,1.000000,0.333333,0.300000,0.500000,1.000000,0.375000,0.500000,1.000000,0.000000,0.500000,0.666667,0.000000,0.500000,0.000000,1.000000,70.000000
0.418605,0.700000,0.500000,0.500000,1.000000,0.666667,0.780000,0.500000,1.000000,0.375000,0.500000,0.500000,0.000000,1.000000,0.500000,0.000000,1.000000,0.000000,0.000000,71.000000
0.651163,0.600000,0.500000,0.000000,1.000000,0.500000,0.360000,0.000000,1.000000,0.125000,0.000000,0.500000,1.000000,0.500000,0.333333,0.000000,0.000000,0.500000,0.000000,67.000000
0.558140,0.450000,0.000000,1.000000,1.000000,0.333333,0.000000,0.500000,1.000000,0.125000,1.000000,1.000000,0.000000,0.000000,0.333333,0.000000,0.000000,1.000000,0.000000,66.000000
0.372093,0.850000,0.500000,1.000000,0.000000,0.333333,0.600000,1.000000,1.000000,0.000000,0.500000,0.000000,1.000000,0.500000,0.166667,0.000000,0.500000,0.000000,0.000000,69.000000
0.511628,0.950000,0.500000,0.500000,1.000000,0.666667,0.420000,0.500000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.833333,0.000000,0.000000,0.500000,0.000000,72.000000
0.372093,0.500000,0.000000,1.000000,0.000000,0.666667,0.760000,0.500000,0.000000,0.500000,0.500000,1.000000,1.000000,0.500000,0.666667,0.000000,0.500000,0.500000,0.000000,68.000000
0.372093,0.925000,0.500000,1.000000,1.000000,0.333333,0.740000,0.000000,1.000000,0.250000,0.000000,1.000000,1.000000,0.500000,0.333333,0.000000,0.000000,0.000000,0.000000,71.000000
0.465116,0.575000,0.500000,0.500000,1.000000,0.666667,0.940000,0.000000,1.000000,0.250000,0.500000,0.500000,0.000000,1.000000,0.666667,0.000000,0.000000,0.000000,0.000000,70.000000
0.186047,0.550000,0.500000,0.500000,1.000000,0.666667,0.440000,0.500000,1.000000,0.250000,0.500000,0.500000,1.000000,1.000000,0.500000,0.000000,1.000000,0.000000,0.000000,66.000000
0.209302,0.450000,0.500000,1.000000,1.000000,0.666667,0.480000,0.500000,1.000000,0.125000,0.000000,0.500000,1.000000,0.500000,0.666667,0.000000,1.000000,0.000000,0.000000,65.000000
0.372093,0.200000,0.500000,0.500000,0.000000,0.666667,0.400000,0.500000,1.000000,0.250000,0.500000,0.500000,1.000000,1.000000,0.666667,0.000000,0.000000,0.000000,1.000000,64.000000
0.302326,0.000000,0.500000,0.000000,1.000000,1.000000,0.300000,0.000000,1.000000,0.000000,1.000000,0.500000,1.000000,1.000000,0.500000,0.000000,0.500000,0.000000,0.000000,60.000000
0.488372,0.250000,0.000000,0.500000,1.000000,0.333333,0.640000,0.500000,1.000000,0.125000,0.000000,1.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.000000,1.000000,65.000000
0.325581,0.500000,0.500000,0.500000,1.000000,0.833333,0.820000,0.000000,1.000000,0.375000,0.000000,0.500000,0.000000,1.000000,0.333333,0.000000,0.500000,0.500000,1.000000,67.000000
